po_id,po_number,po_date,total_amount,vendor_ref,delivery_terms,payment_term,shipment_mode,warranty_period,delivery_period,contact_person,mobile,created_at,updated_at,item_code,vendor_name,supplier_gstin,buyer_gstin,delivery_location,supplier_pan
243,CM24-25POAR 1024,2025-02-28,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06417,INNOVATIVE INFRA & MINING SOLUTIONS LIMITED-JHARKHAND,20AAHCI1010J1ZA,,"PLOT NO.605, KHATA NO.51, K G ASHRAM POST OFFICE, MOUZA-JIYALGORA, P.S. GOVINDPURJharkhandIndia",AAHCI1010J  
244,CM24-25POAR 854,2025-01-11,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S00129,DRS MILLENNIUM PRIVATE LIMITED - (INFRA MOVES PVT LTD),20AACCI3034M1ZX,,Marksman Hospital. Near Sbi Bank.HAZIRABAGHJharkhandIndia,AACCI3034M  
245,TP24-25POAR 1026,2025-03-04,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06409,SHREE BALAJI CARBONIC GASES,22AGBPA1822D1ZI,,RAIGARHRAIGARHChhattisgarhIndia,AGBPA1822D  
246,CM24-25POAR 853,2025-01-11,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S00431,GANGA ENTERPRISES,20BAOPP8212Q1Z8,,NATRAJ NAGARHAZARIBAGJharkhandIndia,BAOPP8212Q  
247,TP24-25/PO 1400,2025-02-12,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06497,SPECIAL BLASTS LIMITED,22AADCS2831D1ZY,,"G-5,GROUND FLOOR,WALLFORT OZONE,FAFDIH CHOWK,RAIPUR-492001RAIPURChhattisgarhIndia",AADCS2831D  
248,PC24-25POAR 579,2025-03-15,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06417,INNOVATIVE INFRA & MINING SOLUTIONS LIMITED-JHARKHAND,20AAHCI1010J1ZA,,"PLOT NO.605, KHATA NO.51, K G ASHRAM POST OFFICE, MOUZA-JIYALGORA, P.S. GOVINDPURJharkhandIndia",AAHCI1010J  
249,TP24-25POAR 957,2025-02-13,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S00232,RAGHVENDRA ENTERPRISES-MADHYAPRADESH,23CWNPS3105D1ZR,,BESIDE GMMCO. JAYANT ROADMEDHAULIMadhya PradeshIndia,CWNPS3105D  
250,TP24-25/PO 1337,2025-01-31,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06710,SURENDRA AUTOMOBILES,22AFJPA0972M1ZK,,"DHIMRAPUR CHOWK,RAIGARHRAIGARHChhattisgarhIndia",AFJPA0972M  
251,AN24-25POAR 624,2025-01-18,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06102,ADARSHA ENGINEERING WORKS,37BYKPS3924C1Z9,,"Vigneswara Pan Shop, shop no 2 plot no 284 phase 1 2 indira autonagar guntur,Guntur, Guntur, Andhra Pradesh, 522001Andhra PradeshIndia",BYKPS3924C  
252,TP24-25POAR 1027,2025-03-04,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S00080,DOZER WORLD PVT LTD-DELHI,07AADCD2500J1Z2,,NULLNULLNULLNULL,AADCD2500J  
